CASEID,CONSENT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8a,Q8b,Q8c,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q10h,Q10i,Q10j,Q10k,Q10l,Q10m,Q10n,Q10o,Q10p,Q10q,Q10r,Q11a,Q11b,Q11c,Q11c_1,Q11c_2,Q11c_3,Q11c_4,Q11c_5,Q11c_6,Q11c_7,Q11c_8,Q11c_9,Q11c_10,Q11c_11,Q11c_12,Q11c_13,Q11c_14,Q11c_15,Q11c_16,Q11c_17,Q11c_18,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q14,Q15,Q16,Q16x,Q17,Q18,Q19,Q20a,Q20b,Q21,Q23,Q24,Q25,Q32a,Q32b,Q33,Q34,Q35,Q36,Q40,Q41,Q42,Q42x,Q43,AGE,Gender,Q16a,Q16b,Q16c,Q16c_1,Q16c_2,Q16c_3,Q16c_4,Q16c_5,Q16c_6,Q16d1,Q16d2,Q16d3,party,CNTY,FIPS,HOME,PERMAV,CD,SD,AD,F13,F14,F15,F16,F17,F18,F19,F20,EndDate,Durationinseconds,Finished,RecordedDate,lang,WEIGHT,ETHNICITY,LIKELY_2020_PRIMARY,LIKELY_2020_GENERAL
3355,1,2,1,1,1,4,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,3,2,3,2,3,2,2,4,1,1,2, ,1,1,"3                                                                                                                                                                                                                                             ",4,1, ,1,2,4,30,2,4,2,"      1",1,0,0,0,0,0,1,2,2,"      Republican",30, 59,"H","Y",49,36,73,"N","P","N","P","P","P","P","A","08-JUN-2019 12:59:52",   862,1,"08-JUN-2019 12:59:53",1, 2.25913,1,1,1
3356,1,2,4,5,5,3,2,1, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,2,4,2,4,1,1,2,1,2,3,3,3,2,"1                                                                                                                                                                                                                                             ",1,1, ,2,2,1,26,2,5,2,"  1,2,3",1,1,1,0,0,0,2,4,2,"           Other",50, 99," "," ",10, 8,12,"N","N","N","N","N","N","N","N","08-JUN-2019 13:00:14",   557,1,"08-JUN-2019 13:00:15",1, 3.89606,3,2,2
3357,1,2,4,5,5,2,2,1, ,1, , ,3,1,1,1,3,3,1,3,1,1,1,3,2,3,3,3,3,3, 7,10,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,4,3,1,1,2,1,4,1,1,2,1,2,1, ,4,1,"2                                                                                                                                                                                                                                             ",2,1, ,2,1,3,29,2,7,1,"       ", , , , , , ,1,1,1,"        Democrat",19, 37," "," ",27,25,41,"N","N","N","N","N","N","N","P","08-JUN-2019 13:00:42",   938,1,"08-JUN-2019 13:00:42",1, 0.36283,2,1,1
3358,1,2,4,4,4,2,1,4, ,3, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,1,2,1,2, ,2,4,1,1,1, ,1,5,"14                                                                                                                                                                                                                                            ",2,1, ,2,2,4,18,2,3,2,"      3",0,0,1,0,0,0,1,2,2,"        Democrat",34, 67,"H","Y", 7, 6, 9,"N","N","N","N","N","N","N","A","08-JUN-2019 13:02:23",352021,1,"08-JUN-2019 13:02:24",1, 0.77921,4,2,2
3359,1,2,4,5,5,2,2,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,1,2,4,2,3,1,1,2,2,2,1, ,4,5,"2 years                                                                                                                                                                                                                                       ",2,1, ,1,1,1,29,2,7,1,"       ", , , , , , ,2,3,2,"Decline to State",13, 25," ","Y",51,40,56,"N","N","N","N","N","N","N","A","08-JUN-2019 13:04:49",   985,1,"08-JUN-2019 13:04:49",1, 0.43078,2,2,1
3360,1,2,1,1,2,4,1,3,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,1,2,1,4,2,1,2,2,2,4,1,3,5,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,3,25,2,6,1,"       ", , , , , , ,2,3,3,"      Republican",19, 37," "," ",29,18,39,"N","N","N","N","N","N","N","N","08-JUN-2019 13:06:35",   687,1,"08-JUN-2019 13:06:36",1, 1.24037,2,2,2
3361,1,2,4,4,4,2,1,1, ,1, , ,3,1,1,1,3,3,1,3,3,1,1,3,1,3,3,1,3,3,11,13,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,2,2,4,2,2,2,2,2,1,2,2,1,1,4,2,1,1,1,1,2, ,1,2,2,2,1, ,5,2,"12                                                                                                                                                                                                                                            ",3,1, ,2,2,4,34,2,8,2,"      3",0,0,1,0,0,0,1,1,1,"        Democrat",19, 37,"H"," ",29,18,39,"N","P","N","N","P","P","P","P","08-JUN-2019 13:07:38",   955,1,"08-JUN-2019 13:07:38",1, 0.39314,4,1,1
3362,1,2,4,4,4,2,1,1, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,2,3,2,4,1,1,2,1,2,1, ,4,5,"4                                                                                                                                                                                                                                             ",2,1, ,2,1,2,23,2,7,2,"      2",0,1,0,0,0,0,1,2,2,"        Democrat",34, 67,"H","Y", 7, 4, 8,"N","N","N","N","N","N","N","A","08-JUN-2019 13:07:40",   539,1,"08-JUN-2019 13:07:41",1, 0.16115,3,2,2
3363,1,2,4,4,5,1,2,1, ,1, , ,1,1,1,1,3,1,1,3,3,3,1,3,1,3,3,3,3,3,19,  ,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,2,1,1, ,5,2,"2                                                                                                                                                                                                                                             ",1,1, ,2,1,5,27,2,8,2,"      1",1,0,0,0,0,0,2,3,2,"        Democrat",49, 97,"H","Y", 5, 2,10,"N","A","N","A","P","A","A","A","08-JUN-2019 13:07:44",  1033,1,"08-JUN-2019 13:07:45",1, 0.35741,1,1,1
3364,1,2,4,3,5,2,2,1, ,1, , ,3,1,1,3,3,3,1,3,3,3,2,3,1,3,3,3,3,3, 7,19,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,1,1,3,1,1,2,1,1,1,1,1,1,1,4,3,1,2,2,2,2, ,1,3,1,2,1, ,4,5,"1                                                                                                                                                                                                                                             ",1,1, ,2,2,3,40,2,5,2,"      2",0,1,0,0,0,0,1,1,2,"        Democrat",36, 71," ","Y",31,20,47,"N","N","N","N","P","A","N","A","08-JUN-2019 13:07:47",   797,1,"08-JUN-2019 13:07:49",1, 0.86265,3,1,1
3365,1,2,4,5,4,3,2,1, , ,1, ,3,1,1,3,3,3,2,3,3,3,1,3,1,3,3,3,3,3,11, 2,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,2,2,2,2,2,1,1,1,2,1,1,1,1,4,3,1,1,2,1,3,2,1,1,1,1,1, ,4,1,"3                                                                                                                                                                                                                                             ",1,1, ,2,2,5,37,2,7,2,"    3,4",0,0,1,1,0,0,2,2,2,"Decline to State",19, 37," "," ",28,25,43,"N","P","N","N","N","P","P","P","08-JUN-2019 13:07:55",   945,1,"08-JUN-2019 13:07:56",1, 0.67478,4,1,1
3366,1,2,4,4,5,2,2,1, ,1, , ,3,1,2,3,1,3,2,3,3,3,1,3,2,3,3,3,3,3, 2, 7,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,1,2,1,2,1,1,2,1,2,1,1,1,4,3,2,2,3,2,2, ,1,1,1,2,1, ,5,2,"4                                                                                                                                                                                                                                             ",1,1, ,2,2,4,34,2,8,2,"      1",1,0,0,0,0,0,1,1,2,"        Democrat", 7, 13," ","Y",11, 7,16,"N","N","N","N","A","P","A","A","08-JUN-2019 13:09:05",   649,1,"08-JUN-2019 13:09:06",1, 0.48501,1,1,1
3367,1,2,4,5,5, ,2,3, ,1, , ,3,1,3,3,3,3,1,3,3,3,2,3,2,3,3,3,3,3, 7, 2,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,2,2,3,2,3,1,2,1,3,3,1,1,1,4,3,1,1,1,1,4,1,1,3,1,1,1, ,4,5,"2                                                                                                                                                                                                                                             ",1,2, ,2,2,6,32,2,8,2,"      1",1,0,0,0,0,0,2,2,3,"        Democrat",41, 81," ","Y",14,13,22,"N","N","N","N","A","A","A","A","08-JUN-2019 13:11:07",  1107,1,"08-JUN-2019 13:11:07",1, 0.48501,1,1,1
3368,1,2,4,4,3,3,1,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,2,3,2,4,2,1,2,2,2,3,3,3,2,"1                                                                                                                                                                                                                                             ",1,1, ,2,1,2,20,2,4,1,"       ", , , , , , ,3,3,2,"Decline to State",30, 59," ","Y",48,34,72,"N","N","N","N","N","A","N","N","08-JUN-2019 13:11:32",   541,1,"08-JUN-2019 13:11:32",1, 0.52757,2,2,2
3369,1,2,3,3,4,4,1,1, , ,4, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,3,1,3,1,3,2,2,2,2,1,2, ,2,1,"10                                                                                                                                                                                                                                            ",3,1, ,1,2,6,35,2,7,2,"      1",1,0,0,0,0,0,2,2,2,"Decline to State",56,111,"H","Y",26,27,44,"N","P","N","P","N","P","N","N","08-JUN-2019 13:13:11",   812,1,"08-JUN-2019 13:13:11",1, 1.01281,1,2,1
3370,1,2,3,3,5,2,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,3,2,2,3,2,2, ,1,1,1,3,3,2,4,5,"4                                                                                                                                                                                                                                             ",2,1, ,2,2,3,52,2,5,2,"      1",1,0,0,0,0,0,2,4,2,"Decline to State",37, 73," ","Y",53,38,71,"N","N","N","N","N","N","N","A","08-JUN-2019 13:13:51",   527,1,"08-JUN-2019 13:13:51",1, 0.85032,1,2,1
3371,1,2,4,4,5,2,1,1, ,1, , ,3,2,1,1,1,2,2,1,3,3,2,1,1,2,1,3,1,1,19,  ,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,2,2,2,4,3,3,3,2,3,3,1,3,1,1,3,3,3,2,3,2,1, ,2,2,2,1,1, ,3,3,"3                                                                                                                                                                                                                                             ",1,1, ,2,1,4,45,2,8,2,"      1",1,0,0,0,0,0,4,4,4,"        Democrat",15, 29,"H","Y",23,16,34,"P","P","N","A","A","A","N","A","08-JUN-2019 13:15:21",   859,1,"08-JUN-2019 13:15:22",1, 0.40336,1,1,1
3372,1,2,4,5,5,4,2,1, , ,3, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,2,1,1,4,1,2,2,1,1,4,1,2,3,"3                                                                                                                                                                                                                                             ",2,2, ,2,2,4,43,2,8,2,"      4",0,0,0,1,0,0,2,2,2,"Decline to State",33, 65," ","Y",36,28,42,"N","N","N","N","N","N","N","P","08-JUN-2019 13:15:24",   759,1,"08-JUN-2019 13:15:24",1, 0.32656,4,2,1
3373,1,2,2,2,1,4,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,2,4,2,4,2,2,4,2,4,3,1,2,1,"8 years                                                                                                                                                                                                                                       ",4,1, ,2,2,2,59,2,5,2,"      1",1,0,0,0,0,0,1,4,2,"      Republican", 3,  5," ","Y", 4, 8, 5,"N","A","N","A","A","A","N","A","08-JUN-2019 13:15:24",   911,1,"08-JUN-2019 13:15:26",1, 0.73148,1,1,1
3375,1,2,3,3,4,3,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,3,2,3,2,2, ,1,4,2,1,3,3,3,5,"10                                                                                                                                                                                                                                            ",2,1, ,2,2,4,37,2,8,2,"      1",1,0,0,0,0,0,2,3,3,"Decline to State",34, 67,"H","Y", 6, 6, 7,"N","N","A","N","N","N","A","A","08-JUN-2019 13:17:41",344800,1,"08-JUN-2019 13:17:43",1, 0.42250,1,2,2
3376,1,2,2,3,2,4,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,4,2,4,2,1,4,2,2,3,1,3,3,"3                                                                                                                                                                                                                                             ",3,2, ,2,2,5,61,2,5,2,"      6",1,1,0,0,0,0, , , ,"      Republican",33, 65,"H","Y",36,28,71,"A","A","A","N","A","A","A","A","08-JUN-2019 13:18:14",   828,1,"08-JUN-2019 13:18:14",1, 0.98463,3,1,1
3377,1,2,4,5,4,2,2,1, ,1, , ,2,1,2,1,3,3,1,3,3,1,1,3,2,2,2,3,3,3, 2, 7,",14,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2, ,1,2,1,1,4,2,5,1,"4                                                                                                                                                                                                                                             ",2,1, ,2,2,5,38,2,5,2,"      1",1,0,0,0,0,0,2,4,3,"        Democrat", 7, 13," "," ", 9, 7,11,"N","N","N","N","P","P","P","P","08-JUN-2019 13:19:46",   715,1,"08-JUN-2019 13:19:46",1, 1.10076,1,1,1
3378,1,2,4,5,5,2,2,1, ,1, , ,3,1,1,1,3,3,2,3,3,1,1,2,2,3,1,3,3,3, 2,11,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,2,3,3,2,2,1,2,2,2,2,1,1,1,4,2,1,1,1,1,1, ,1,4,2,1,1, ,3,1,"Less than a year                                                                                                                                                                                                                              ",3,2, ,2,2,6,53,2,7,2,"      1",1,0,0,0,0,0,4,4,4,"        Democrat", 1,  1,"H","Y",15,10,20,"P","A","P","N","N","A","A","A","08-JUN-2019 13:20:24",   826,1,"08-JUN-2019 13:20:25",1, 0.47229,1,1,1
3379,1,2,4,5,4,1,2,1, ,1, , ,3,2,1,3,3,3,1,3,3,3,2,3,1,3,3,3,3,3,13, 3,",2,                                            ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,1,2,3,1,1,1,1,2,1,1,2,1,1,4,3,1,2,3,2,3,1,2,2,1,3,1, ,5,1,"2                                                                                                                                                                                                                                             ",1,1, ,2,2,4,39,2,5,2,"      1",1,0,0,0,0,0,3,4,3,"        Democrat",33, 65," ","Y",36,23,42,"N","N","N","N","N","N","A","A","08-JUN-2019 13:21:46",   521,1,"08-JUN-2019 13:21:46",1, 1.14279,1,1,1
3380,1,1,3,4,4,3,1,1,2, , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,3,2,4,2,3,1,1,2,2,2,2, ,2,2,"17                                                                                                                                                                                                                                            ",2,1, ,2,2,5,18,1,5,2,"      1",1,0,0,0,0,0,1,1,1,"      Republican",43, 85,"H","Y",18,15,28,"N","N","N","N","N","N","N","A","08-JUN-2019 13:21:51",   421,1,"08-JUN-2019 13:21:51",1, 0.39360,1,2,1
3381,1,1,1,2,3,4,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,3,2,4,2,1,2,2,3,2, ,3,5,"23                                                                                                                                                                                                                                            ",1,1, ,2,2,3,29,1,6,1,"       ", , , , , , ,4,3,4,"      Republican", 1,  1,"H","Y",15,10,20,"N","P","N","N","N","P","N","N","08-JUN-2019 13:22:22",   620,1,"08-JUN-2019 13:22:22",1, 1.92271,2,2,1
3382,1,2,4,5,5,2,1,1, ,1, , ,3,1,3,3,2,3,1,3,1,1,1,3,1,3,1,3,3,3,19,  ,",2,7,9,10,11,13,15,                            ",0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,2,2,3,3,2,2,2,1,2,1,1,2,2,1,1,1,1,4,2,1,1,2,1,2, ,1,3,1,1,1, ,4,3,"3                                                                                                                                                                                                                                             ",2,1, ,2,2,3,59,2,8,2,"      1",1,0,0,0,0,0,2,2,2,"        Democrat", 1,  1," ","Y",13, 9,15,"N","N","N","N","N","A","P","A","08-JUN-2019 13:22:49",   765,1,"08-JUN-2019 13:22:49",1, 0.43094,1,1,1
3383,1,2,4,4,4,2,1,3, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,1,2,3,1,2, ,1,1,1,1,1, ,4,5,"3                                                                                                                                                                                                                                             ",2,1, ,2,2,3,27,2,7,2,"      3",0,0,1,0,0,0,1,1,1,"Decline to State",34, 67,"H"," ", 6, 6, 9,"N","N","N","N","N","N","N","N","08-JUN-2019 13:24:06",   418,1,"08-JUN-2019 13:24:06",1, 0.64093,4,2,2
3384,1,2,2,3,3,4,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,4,2,4,2,2,4,2,1,2, ,2,1,"15                                                                                                                                                                                                                                            ",1,1, ,2,2,6,55,2,3,2,"      1",1,0,0,0,0,0,2,3,2,"      Republican",19, 37,"H","Y",30,27,45,"N","N","A","A","A","A","A","N","08-JUN-2019 13:24:27",   647,1,"08-JUN-2019 13:24:28",1, 6.87261,1,1,1
3385,1,1,1,2,2,2,1,2,2, , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,3,2,4,2,1, ,1,2,1,2,2, ,2,3,"4                                                                                                                                                                                                                                             ",2,1, ,2,2,5,55,2,8,2,"      1",1,0,0,0,0,0,2,1,1,"      Republican",50, 99,"H","Y",10, 5,12,"N","N","N","N","N","N","A","A","08-JUN-2019 13:25:10",   618,1,"08-JUN-2019 13:25:12",1, 0.48587,1,2,2
3386,1,2,4,5,3,1,2,1, ,1, , ,3,1,3,1,3,3,2,3,3,3,1,3,1,3,3,3,3,3,19,  ,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,4, , , , ,2,2,1,1,2,1,2,2,1,1,4,3,1,2,3,2,3,1,1,3,1,2,1, ,3,3,"11                                                                                                                                                                                                                                            ",4,1, ,2,2,5,72,2,8,2,"      1",1,0,0,0,0,0,2,1,1,"        Democrat",37, 73,"H","Y",52,39,77,"N","A","A","A","A","A","A","A","08-JUN-2019 13:25:16",   897,1,"08-JUN-2019 13:25:17",1, 0.34838,1,1,1
3387,1,2,4,5,4,3,2,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,2,3,2,1, ,2,2,1,2,3,3,4,2,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,2,22,2,6,1,"       ", , , , , , ,2,1,1,"Decline to State", 7, 13,"H","Y", 9, 7,11,"N","N","N","N","N","N","N","N","08-JUN-2019 13:27:17",  1082,1,"08-JUN-2019 13:27:19",1, 0.79713,2,2,2
3388,1,2,4,5,5,2,1,1, ,1, , ,1,1,1,1,1,1,2,1,3,1,1,3,1,3,1,3,3,3,11,13,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,1,2,2,3,3,1,2,2,1,1,1,1,1,4,2,1,1,2,1,4,1,1,1,1,1,1, ,3,1,"1                                                                                                                                                                                                                                             ",3,1, ,2,2,5,41,2,7,1,"       ", , , , , , ,3,3,3,"        Democrat",37, 73," ","Y",52,38,77,"N","P","N","N","A","P","A","A","08-JUN-2019 13:27:21",   952,1,"08-JUN-2019 13:27:21",1, 0.15934,2,1,1
3389,1,1,2,3,3,2,2,4, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,2,1,2,2,2, ,2,2,1,2,3,3,3,5,"18                                                                                                                                                                                                                                            ",2,1, ,2,2,2,18,1,3,2,"      6",0,0,0,0,0,1, , , ,"Decline to State",19, 37," ","Y",39,29,55,"N","N","N","N","N","N","N","N","08-JUN-2019 13:27:34",   564,1,"08-JUN-2019 13:27:34",1, 6.17985,5,2,2
3390,1,2,4,5,5,2,2,1, ,1, , ,1,1,2,1,1,3,1,3,3,1,3,1,2,3,1,2,3,3, 2,10,",3,                                            ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,2,2,1,1,1,1,2,1,1,3,1,1,4,2,1,1,1,1,4,1,1,3,1,1,1, ,4,1,"9                                                                                                                                                                                                                                             ",4,1, ,2,1,4,64,2,7,2,"      1",1,0,0,0,0,0,1,4,4,"        Democrat",54,107,"H","Y",22,16,26,"P","P","A","A","A","A","A","A","08-JUN-2019 13:27:37",   952,1,"08-JUN-2019 13:27:37",1, 0.33481,1,1,1
3391,1,1,2,1,2,4,1,4, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,3,2,4,2,4,2,2,4,2,3,2, ,1,5,"                                                                                                                                                                                                                                              ",2,1, ,1,2,1,21,1,5,1,"       ", , , , , , ,4,3,4,"Decline to State",33, 65,"H"," ",41,31,61,"N","N","N","N","N","P","P","P","08-JUN-2019 13:27:41",   427,1,"08-JUN-2019 13:27:42",1, 0.36906,2,2,2
3392,1,2,4,5,4,2,2,1, ,1, , ,2,2,2,2,2,3,1,3,3,2,1,2,2,2,3,3,3,3, 7,11,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,3,1,2,2,1,1,1,1,2,1,1,1,1,1,4,2,1,1,2,1,2, ,1,1,2,2,1, ,4,5,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,2,26,2,6,1,"       ", , , , , , ,1,1,1,"        Democrat",19, 37," "," ",30,27,45,"N","N","N","N","P","N","N","P","08-JUN-2019 13:27:51",  2310,1,"08-JUN-2019 13:27:52",1, 0.84021,2,1,1
3393,1,1,3,4,2,3,1,3, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,2,2,3,2,3,2,1,1,2,1,3,1,2,5,"24                                                                                                                                                                                                                                            ",2,1, ,2,1,2,24,1,5,2,"      1",1,0,0,0,0,0,1,1,1,"Decline to State",24, 47,"H","Y",16,12,21,"N","N","N","N","N","N","N","N","08-JUN-2019 13:28:06",   553,1,"08-JUN-2019 13:28:08",1, 1.63689,1,2,2
3394,1,2,4,4,4,2,2,1, ,1, , ,2,1,1,2,1,1,1,1,3,1,1,1,1,3,1,3,3,3, 2,11,",4,                                            ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,2, ,1,3,1,2,1, ,4,1,"2                                                                                                                                                                                                                                             ",3,2, ,2,2,5,69,2,7,2,"      1",1,0,0,0,0,0,3,3,3,"        Democrat", 7, 13,"H","Y", 9, 7,11,"P","P","A","P","A","A","A","A","08-JUN-2019 13:28:54",   624,1,"08-JUN-2019 13:28:54",1, 0.34504,1,1,1
3395,1,2,4,5,5,2,2,1, ,1, , ,3,1,3,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3,13, 2,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,3,2,1,1,1,1,2,2,1,2,1,1,4,3,2,2,3,2,3,1,1,2,1,3,1, ,4,2,"1                                                                                                                                                                                                                                             ",2,1, ,2,1,4,62,2,6,2,"      1",1,0,0,0,0,0,3,3,3,"        Democrat",19, 37," ","Y",30,27,45,"N","P","N","N","P","P","N","A","08-JUN-2019 13:28:59",  1407,1,"08-JUN-2019 13:29:01",1, 0.89228,1,1,1
3396,1,2,4,4,4,2,2,1, , ,1, ,3,1,1,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3, 2,13,",9,                                            ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,2,1,3,1,1,1,2,2,1,1,2,1,1,4,3,3,2,3,2,3,1,1,2,1,2,1, ,4,1,"6                                                                                                                                                                                                                                             ",2,2,3,2,2,4,31,2,5,1,"       ", , , , , , ,2,1,2,"Decline to State",33, 65,"H","Y",41,31,61,"N","N","N","N","N","N","N","A","08-JUN-2019 13:29:07",  1182,1,"08-JUN-2019 13:29:07",1, 0.97069,2,1,1
3397,1,2,4,5,5,2,1,1, ,1, , ,3,1,1,1,3,3,1,3,3,3,1,3,2,3,3,3,3,3,11, 3,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,1,3,1,2,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,2, ,1,3,1,2,1, ,5,5,"4                                                                                                                                                                                                                                             ",1,1, ,2,2,5,34,2,6,2,"      1",1,0,0,0,0,0,1,2,2,"        Democrat",19, 37," "," ",28,26,50,"N","N","N","N","N","P","P","P","08-JUN-2019 13:29:09",   980,1,"08-JUN-2019 13:29:10",1, 0.76841,1,1,1
3398,1,2,3,3,4,2,1,1, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,2,1,4,1,1,4,2,1,1, ,4,2,"3                                                                                                                                                                                                                                             ",3,1, ,2,2,5,28,1,7,2,"      1",1,0,0,0,0,0,4,2,2,"        Democrat",44, 87," ","Y",20,17,29,"N","N","N","N","N","N","A","A","08-JUN-2019 13:29:19",   285,1,"08-JUN-2019 13:29:19",1, 0.20850,1,2,2
3399,1,2,4,4,5,1,2,1, ,1, , ,3,1,2,1,1,1,1,3,3,1,1,3,2,3,3,3,3,3,11, 4,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,2,2,2,2,2,1,2,1,1,1,1,1,1,4,2,2,1,1,1,1, ,1,2,1,1,1, ,5,2,"0.5                                                                                                                                                                                                                                           ",1,1, ,2,2,4,25,1,6,2,"      1",1,0,0,0,0,0,2,4,2,"        Democrat",19, 37," ","Y",38,32,58,"N","N","N","N","N","N","N","A","08-JUN-2019 13:29:26",   691,1,"08-JUN-2019 13:29:27",1, 1.47586,1,1,1
